FORMA|LEMMA|ETIMO|LANG|POS|FUNCT||ADPTYPE|ADVTYPE|ADVTYPE2|CASE|DEGREE|DETERTYPE|GENDER|MOOD|MWES|NUMBER|NUMTYPE|PARTTYPE|PERSON|PRONTYPE|PROPERTY|TENSE|VERBFORM|VOICE|g|h|p|v
destrucion|destructïon|DESTRUERE||noun|||||||||fem|||sing|||||||||g||p|v
destrueroit|destruire|DESTRUERE||verb||||||||||cnd||sing|||3||trans|pres|fin|act|g||p|v
destruice|destruire|DESTRUERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
destruicion|destrüison|DESTRUERE||noun|||||||||fem|||sing|||||||||g||p|v
destruie|destruire|DESTRUERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
destruire|destruire|DESTRUERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
destruissent|destruire|DESTRUERE||verb||||||||||||plur|||3||trans|pres|ind|act|g||p|v
destruistrent|destruire|DESTRUERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
destruite|destruire|DESTRUERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
destruition|destructïon|DESTRUERE||noun|||||||||fem|||sing|||||||||g||p|v
destruit|destruire|DESTRUERE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
destrusion|destructïon|DESTRUERE||noun|||||||||fem|||sing|||||||||g||p|v
destrustent|destruire|DESTRUERE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
destrute|destruire|DESTRUERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
destrutions|destructïon|DESTRUERE||noun|||||||||fem|||sing|||||||||g||p|v
destrution|destructïon|DESTRUERE||noun|||||||||fem|||sing|||||||||g||p|v
desus|desus|SURSUM||adposition|||||||||||||||||||||g||p|v
desus|desus|SURSUM||adverb||||loc|||||||||||||||||g||p|v
desvioit|desvoiier1|VIA||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
des|un|UNUS||determiner||||||||artindef|fem|||plur|||||||||g||p|v
des|de|DE||adposition|||prepart||||||||||||||||||g||p|v
des|un|UNUS||determiner||||||||artindef|masc|||plur|||||||||g||p|v
detrenchee|detrenchier|*TRINICARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
detrenchent|detrenchier|*TRINICARE||verb||||||||||||plur|||3||trans|pres|ind|act|g||p|v
detrencherent|detrenchier|*TRINICARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
detrencherent|detrenchier|*TRINICARE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
detrenche|detrenchier|*TRINICARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
detrenchient|detrenchier|*TRINICARE||verb||||||||||||plur|||3||trans|pres|ind|act|g||p|v
detrenchier|detrenchier|*TRINICARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
detrenchoient|detrenchier|*TRINICARE||verb||||||||||imp||plur|||3||||ind|rfl|g||p|v
detrenchés|detrenchier|*TRINICARE||verb|||||||||masc|part||sing||||||past|ind||g||p|v
detrenchés|detrenchier|*TRINICARE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
detrenchés|detrenchier|*TRINICARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
devant_ce_qe|devant|ABANTE||adverb|SConj |||loc|||||||mwes||||||||||g||p|v
devant|devant|ABANTE||adposition|||||||||||||||||||||g||p|v
devant|devant|ABANTE||adverb||||loc|||||||||||||||||g||p|v
devan|devant|ABANTE||adposition|||||||||||||||||||||g||p|v
devenir|deviner|DIVINARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
devenoient|devenir|DEVENIRE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
deverses|divers|DIVERSUS||adjective|||||||||fem|||plur|||||||||g||p|v
deversité|diverseté|DIVERSUS||noun|||||||||fem|||sing|||||||||g||p|v
devers|divers|DIVERSUS||adjective|||||||||fem|||plur|||||||||g||p|v
devers|devers|VERSUS1||adposition|||||||||||||||||||||g||p|v
devindrent|devenir|DEVENIRE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
deviner|deviner|DIVINARE||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
deviner|deviner|DIVINARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
devinoit|deviner|DIVINARE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
devin|devin1|DIVINUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
devisera|deviser|*DIVISARE||verb||||||||||||plur|||2||intr|fut|ind||g||p|v
deviser|deviser|*DIVISARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
devise|devise|*DIVISARE||noun|||||||||fem|||sing|||||||||g||p|v
devis|deviser|*DEVISARE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
devisés|deviser|*DIVISARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
devisé|deviser|*DIVISARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
devoient|devoir|DEBERE||verb|auxMod|||||||||imp||plur|||3||||ind||g||p|v
devoit|devoir|DEBERE||verb|auxMod|||||||||imp||sing|||3||||ind||g||p|v
devons|devoir|DEBERE||verb|auxMod|||||||||||plur|||1|||pres|ind||g||p|v
devosion|devocïon|DEVOTIO||noun|||||||||fem|||sing|||||||||g||p|v
devroit|devoir|DEBERE||verb|auxMod|||||||||imp||sing|||3||||fin||g||p|v
devés|devoir|DEBERE||verb|auxMod|||||||||imp||plur|||2|||pres|fin||g||p|v
devés|devoir|DEBERE||verb|auxMod|||||||||||plur|||2|||pres|ind||g||p|v
de|un|UNUS||determiner||||||acc||artindef|masc|||plur|||||||||g||p|v
de|de|DE||adposition|||||||||||||||||||||g||p|v
deïstes|dire|DICERE||verb||||||||||||plur|||2||trans|past|ind|act|g||p|v
deïst|devoir|DEBERE||verb|auxMod|||||||||imp||sing|||3||||fin||g||p|v
deüssent|devoir|DEBERE||verb|auxMod|||||||||imp||plur|||3||||fin||g||p|v
deüssiéz|devoir|DEBERE||verb|auxMod|||||||||imp||plur|||2||||fin||g||p|v
deüst|devoir|DEBERE||verb|auxMod|||||||||imp||sing|||3||||fin||g||p|v
dieu|dieu|DEUS||noun||||||acc|||masc|||sing|||||||||g||p|v
dieu|dieu|DEUS||noun||||||nom|||masc|||sing|||||||||g||p|v
diex|dieu|DEUS||noun||||||nom|||masc|||plur|||||||||g||p|v
diex|dieu|DEUS||noun||||||nom|||masc|||sing|||||||||g||p|v
diex|dieu|DEUS||noun||||||acc|||masc|||sing|||||||||g||p|v
diex|dieu|DEUS||noun||||||acc|||masc|||plur|||||||||g||p|v
die|dire|DICERE||verb||||||||||sub||sing|||3||intr|pres|fin||g||p|v
diois|dire|DICERE||verb||||||||||sub||plur|||2||intr|pres|fin||g||p|v
diomedes|Dyomedes|||propernoun||||||nom|||masc|||sing|||||||||g||p|v
dirais|dire|DICERE||verb||||||||||||sing|||2||intr|fut|ind||g||p|v
dirai|dire|DICERE||verb||||||||||||sing|||2||trans|fut|ind|act|g||p|v
dirai|dire|DICERE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
dirai|dire|DICERE||verb||||||||||||sing|||1||intr|fut|ind||g||p|v
dirces|Dirces|||propernoun||||||acc|||masc|||sing|||||||||g||p|v
dire|dire|DICERE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
diroie|dire|DICERE||verb||||||||||cnd||sing|||1||intr|pres|fin||g||p|v
dir|dire|DICERE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
disant|dire|DICERE||verb||||||||||part|||||||intr|pres|ind||g||p|v
disoient|dire|DICERE||verb||||||||||imp||plur|||3||intr||ind||g||p|v
disoit|dire|DICERE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
distrent|dire|DICERE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
dist|dire|DICERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
dis|dit|DICERE||noun||||||acc|||masc|||plur|||||||||g||p|v
dis|dire|DICERE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
dites|dire|DICERE||verb||||||||||imp||plur|||2||intr|pres|fin||g||p|v
dites|dire|DICERE||verb||||||||||||plur|||2||intr|pres|ind||g||p|v
dite|dire|DICERE||verb||||||||||imp||plur|||2||intr|pres|fin||g||p|v
dite|dire|DICERE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
dit|dire|DICERE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
dit|dire|DICERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
dit|dire|DICERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
dit|dire|DICERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
dit|dire|DICERE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
dit|dit|DICERE||noun||||||acc|||masc|||sing|||||||||g||p|v
dit|dire|DICERE||verb||||||||||||sing|||3||intr|pres|ind||g||p|v
di|dire|DICERE||verb||||||||||imp||sing|||2||trans|pres|fin|act|g||p|v
di|dire|DICERE||verb||||||||||sub||sing|||3||intr|pres|fin||g||p|v
di|dire|DICERE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
di|dire|DICERE||verb||||||||||||sing|||1||intr|pres|ind||g||p|v
doie|devoir|DEBERE||verb|auxMod|||||||||sub||sing|||2|||pres|fin||g||p|v
doinent|doner|DONARE||verb||||||||||sub||plur|||3||trans|pres|fin|act|g||p|v
doit|devoir|DEBERE||verb|auxMod|||||||||||sing|||3|||pres|ind||g||p|v
doivent|devoir|DEBERE||verb|auxMod|||||||||||plur|||3|||pres|ind||g||p|v
doi|devoir|DEBERE||verb|auxMod|||||||||||sing|||1|||pres|ind||g||p|v
doi|doi|DIGITUS||noun||||||acc|||masc|||sing|||||||||g||p|v
dolereusement|doloros|DOLOROSUS||adverb||||man|||||||||||||||||g||p|v
dolereuse|doloros|DOLOROSUS||adjective|||||||||fem|||sing|||||||||g||p|v
dolereus|doloros|DOLOROSUS||adjective||||||nom|||masc|||sing|||||||||g||p|v
domast|domer (GD)|DOMARE||verb||||||||||imp||sing|||3||trans||fin|act|g||p|v
donaia|doner|DONARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
donassent|doner|DONARE||verb||||||||||imp||plur|||3||trans||fin|act|g||p|v
donast|doner|DONARE||verb||||||||||imp||sing|||1||trans||fin|act|g||p|v
dona|doner|DONARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
donc|dont|UNDE||pronoun||||||||||||||||int|||||g||p|v
donc|donc|DUNC||adverb|||||||||||||||||||||g||p|v
donee|doner|DONARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
donee|doner|DONARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
doner|doner|DONARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
donna|doner|DONARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
donoie|doner|DONARE||verb||||||||||imp||sing|||1||trans||ind|act|g||p|v
donois|doner|DONARE||verb||||||||||sub||plur|||2||trans|pres|fin|act|g||p|v
donoit|doner|DONARE||verb||||||||||imp||sing|||3||trans||ind|act|g||p|v
dons|don|DONUM||noun||||||acc|||masc|||plur|||||||||g||p|v
dont|dont|UNDE||pronoun||||||||||||||||rel|||||g||p|v
dont|dont|UNDE||adverb|||||||||||||||||||||g||p|v
doné|doner|DONARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
dorai|doner|DONARE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
dormir|dormir|DORMIRE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
dormisent|dormir|DORMIRE||verb||||||||||imp||plur|||3||intr||fin||g||p|v
dormi|dormir|DORMIRE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
dormoit|dormir|DORMIRE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
dormorent|dormir|DORMIRE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
doroie|doner|DONARE||verb||||||||||cnd||sing|||1||trans|pres|fin|act|g||p|v
dorrai|doner|DONARE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
dort|dormir|DORMIRE||verb||||||||||||sing|||3||intr|pres|ind||g||p|v
dos|dos|DORSUM||noun||||||acc|||masc|||sing|||||||||g||p|v
dou_qels|quel1|QUALIS||pronoun||||||acc|||masc|||plur||||int|||||g||p|v
doubla|dobler|DUPLARE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
doublés|dobler|DUPLARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
doucement|doucement|DULCIS||adverb||||man|||||||||||||||||g||p|v
douce|douz|DULCIS||adjective|||||||||fem|||sing|||||||||g||p|v
doulent|dolent|DOLERE||adjective||||||nom|||masc|||sing|||||||||g||p|v
doulenz|dolent|DOLERE||adjective||||||nom|||masc|||sing|||||||||g||p|v
doulor|dolor|DOLOR||noun|||||||||fem|||sing|||||||||g||p|v
doulor|dolor|DOLOR||noun||||||nom|||masc|||sing|||||||||g||p|v
doulor|dolor|DOLOR||noun||||||acc|||masc|||sing|||||||||g||p|v
douna|doner|DONARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
dounerent|doner|DONARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
douner|doner|DONARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
doune|doner|DONARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
dous|douz|DULCIS||adjective||||||nom|||masc|||sing|||||||||g||p|v
dous|douz|DULCIS||adjective||||||acc|||masc|||sing|||||||||g||p|v
dous|douz|DULCIS||adjective|||||||||fem|||sing|||||||||g||p|v
doutance|dotance|DUBITARE||noun|||||||||fem|||sing|||||||||g||p|v
doutast|doter2|DUBITARE||verb||||||||||imp||sing|||3||trans||fin|act|g||p|v
douter|doter2|DUBITARE||noun|||||||||fem|||sing|||||||||g||p|v
doutoit|doter2|DUBITARE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
doux|douz|DULCIS||adjective|||||||||fem|||sing|||||||||g||p|v
doux|douz|DULCIS||adjective||||||nom|||masc|||sing|||||||||g||p|v
dou|de|DE||adposition|||prepart||||||||||||||||||g||p|v
doïnent|doner|DONARE||verb||||||||||sub||plur|||3||trans|pres||act|g||p|v
drac|drap|DRAPPUS||noun||||||acc|||masc|||plur|||||||||g||p|v
drap|drap|DRAPPUS||noun||||||acc|||masc|||plur|||||||||g||p|v
drap|drap|DRAPPUS||noun||||||acc|||masc|||sing|||||||||g||p|v
dras|drap|DRAPPUS||noun||||||acc|||masc|||plur|||||||||g||p|v
droitement|droitement|DIRECTUS||adverb|||||||||||||||||||||g||p|v
droite|droit|DIRECTUS||adjective|||||||||fem|||sing|||||||||g||p|v
droituriere|droiturier2|DIRECTUS||adjective|||||||||fem|||sing|||||||||g||p|v
droiturier|droiturier2|DIRECTUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
droit|droit|DIRECTUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
droit|droit|DIRECTUS||adverb|||||||||||||||||||||g||p|v
droi|droit|DIRECTUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
duc|duc2|DUX||noun||||||nom|||masc|||sing|||||||||g||p|v
duel|duel|DOLUS||noun||||||acc|||masc|||sing|||||||||g||p|v
duel|duel|DOLUS||noun||||||nom|||masc|||sing|||||||||g||p|v
dui_mille|mil1|MILLE||numeral|||||||||||||card||||||||g||p|v
dui|deus|DUO||numeral|||||||||||||ord||||||||g||p|v
dura|durer|DURARE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
duree|durer|DURARE||verb|Noun||||||||fem|part||sing||||||past|ind||g||p|v
duree|durer|DURARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
durement|durement|DURUS||adverb||||man|||||||||||||||||g||p|v
dure|dur|DURUS||adjective|||||||||fem|||sing|||||||||g||p|v
duroit|durer|DURARE||verb||||||||||imp||sing|||3||intr||ind||g||p|v
dur|dur|DURUS||adjective||||||acc|||masc|||sing|||||||||g||p|v
dut|devoir|DEBERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
du|deus|DUO||numeral|||||||||||||card||||||||g||p|v
dès|des2|DE EX||adposition|||||||||||||||||||||g||p|v
d’|de|DE||adposition|||||||||||||||||||||g||p|v
echouchee|escouchier|COLLOCARE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ecuba|Hécube|||propernoun|||||||||fem|||sing|||||||||g||p|v
effors|esforz2|*FORTIARE||noun||||||acc|||masc|||sing|||||||||g||p|v
efionam|Efionam|||propernoun|||||||||fem|||sing|||||||||g||p|v
efraindroie|esfraindre|FRANGERE||verb||||||||||cnd||sing|||1||trans|pres|fin|act|g||p|v
elles|il|ILLE||pronoun||||||nom|||fem|||plur|||3|prs|||||g||p|v
elle|il|ILLE||pronoun||||||nom|||fem|||plur|||3|prs|||||g||p|v
elle|il|ILLE||pronoun||||||nom|||fem|||sing|||3|prs|||||g||p|v
els|il|ILLE||pronoun||||||acc|||masc|||plur|||3|prs|||||g||p|v
els|ueil|OCULUS||noun||||||acc|||masc|||plur|||||||||g||p|v
els|il|ILLE||pronoun||||||nom|||masc|||plur|||3|prs|||||g||p|v
elx|il|ILLE||pronoun||||||acc|||masc|||plur|||3|prs|||||g||p|v
el|en1|IN||adposition|||prepart||||||||||||||||||g||p|v
emmenastes|enmener|MINARE||verb||||||||||||plur|||2||trans|past|ind|act|g||p|v
en_avant|avant|ABANTE||adverb|Adv||||||||||mwes||||||||||g||p|v
en_estant|ester|STARE||verb|Noun|||||||||part||||||||pres|ind||g||p|v
en_la_fin|fin1|FINIS||noun|Adv||||||||fem|||sing|||||||||g||p|v
en_la|en1|IN||adposition|||prepart||||||||||||||||||g||p|v
en_luec|iluec|ILLOC||adverb||||loc|||||||||||||||||g||p|v
en_l’|en1|IN||adposition|||prepart||||||||||||||||||g||p|v
en_mi|enmi|MEDIUS||adposition|||||||||||||||||||||g||p|v
en_repost|repost|REPONERE||noun|Adv|||||acc|||masc|||sing|||||||||g||p|v
en_si_com|ainsi|SIC||adverb|Adv||||||||||mwes||||||||||g||p|v
en_si|ainsi|SIC||adverb|||||||||||||||||||||g||p|v
en_tel_mainiere_q’|maniere|MANUARIUS||noun|SConj ||||||||fem|||sing|||||||||g||p|v
en_tel_mainiere|maniere|MANUARIUS||noun|Adv||||||||fem|||sing|||||||||g||p|v
enamora|enamorer|AMOR||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
enarta|enardre|ARDERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
enbatre|embatre|BATTUERE||verb||||||||||inf|||||||intr|pres|ind||g||p|v
enbla|embler|INVOLARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enbracé|embracier|BRACHIUM||verb|compTens||||||||masc|part|mwes|sing||||||pres|ind||g||p|v
enbrasa|embracier|BRACHIUM||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enbucha|embuschier|*BUSK-||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
enbucherons|embuschier|*BUSK-||verb||||||||||||plur|||1|||fut|ind|rfl|g||p|v
enbuchier|embuschier|*BUSK-||verb||||||||||inf||||||||pres|ind|rfl|g||p|v
enbuchés|embuschier|*BUSK-||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
enchantement|enchantement|INCANTARE||noun||||||acc|||masc|||sing|||||||||g||p|v
encharga|enchargier|CARRICARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enchasteller|enchasteler|CASTELLUM||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
enclinee|encliner|INCLINARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
encloerons|enclore|CLAUDERE||verb||||||||||||plur|||1||trans|fut|ind|act|g||p|v
enclose|enclore|CLAUDERE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
encontra|encontrer|CONTRA||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
encontrerent|encontrer|CONTRA||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
encontrer|encontrer|CONTRA||verb|Noun|||||||||inf||||||||pres|ind||g||p|v
encontres|encontre1|CONTRA||adposition|||||||||||||||||||||g||p|v
encontre|encontre2|CONTRA||noun|Adp||||||||fem|||sing|||||||||g||p|v
encore|encore|HORA||adverb|||||||||||||||||||||g||p|v
encor|encore|HORA||adverb|||||||||||||||||||||g||p|v
endormi|endormir|DORMIRE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
endormi|endormir|DORMIRE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
endroit|endroit|DIRECTUS||noun|Adp||||||||masc|||sing|||||||||g||p|v
enemis|enemi|INIMICUS||noun||||||acc|||masc|||plur|||||||||g||p|v
enfains|enfant|INFANS||noun||||||acc|||masc|||plur|||||||||g||p|v
enfans|enfant|INFANS||noun||||||acc|||masc|||plur|||||||||g||p|v
enfante|enfance|INFANTIA||noun|||||||||fem|||sing|||||||||g||p|v
enfant|enfant|INFANS||noun||||||acc|||masc|||plur|||||||||g||p|v
enfanz|enfant|INFANS||noun||||||acc|||masc|||plur|||||||||g||p|v
enflee|enfler|INFLARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
enflés|enfler|INFLARE||verb|Adj||||||||masc|part||sing||||||past|ind||g||p|v
engignee|engignier1|INGENIUM||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
engigneor|engignëor|INGENIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
engignoit|engignier1|INGENIUM||verb||||||||||imp||sing|||3||||ind|rfl|g||p|v
engignés|engignier1|INGENIUM||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
engins|engin|INGENIUM||noun||||||nom|||masc|||sing|||||||||g||p|v
enginz|engin|INGENIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
engonbrier|encombrier1|*COMBOROS||noun||||||nom|||masc|||sing|||||||||g||p|v
engonbrier|encombrier1|*COMBOROS||noun||||||acc|||masc|||sing|||||||||g||p|v
engrés|engrès|INGRESSUS1||adjective||||||nom|||masc|||sing|||||||||g||p|v
enluec|iluec|ILLOC||adverb|||||||||||||||||||||g||p|v
enmena|enmener|MINARE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enmenerent|enmener|MINARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
enmeneromes|enmener|MINARE||verb||||||||||||plur|||1||trans|fut|ind|act|g||p|v
enmercia|enmercie (DMF)|MERCES||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enmerra|enmener|MINARE||verb||||||||||||sing|||1||trans|fut|ind|act|g||p|v
enn|en1|IN||adposition|||||||||||||||||||||g||p|v
enorerent|onorer|HONORARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
enor|onor|HONOS||noun||||||acc|||masc|||sing|||||||||g||p|v
enpaint|empeindre1|IMPINGERE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
enpaint|empeindre1|IMPINGERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
enpereor|emperëor|IMPERATOR||noun||||||acc|||masc|||sing|||||||||g||p|v
enpiree|empirier|PEJOR||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
enpiree|empirier|PEJOR||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
enpire|empire|IMPERIUM||noun||||||nom|||masc|||sing|||||||||g||p|v
enpire|empire|IMPERIUM||noun||||||acc|||masc|||sing|||||||||g||p|v
enpiré|empirier|PEJOR||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
enpointe|empointe2|PUNGERE||noun|||||||||fem|||sing|||||||||g||p|v
enporterent|emporter2|PORTARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
enprise|emprendre|*IMPREHENDERE||verb|compTens||||||||fem|part|mwes|sing||||||past|ind||g||p|v
enprise|emprise|*IMPREHENDERE||noun|||||||||fem|||sing|||||||||g||p|v
enprist|emprendre|*IMPREHENDERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enpris|emprendre|*IMPREHENDERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
enqistrent|enquerre|INQUIRERE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
enqist|enquerre|INQUIRERE||verb||||||||||||sing|||3||intr|past|ind||g||p|v
enqis|enquerre|INQUIRERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
enquistrent|enquerre|INQUIRERE||verb||||||||||||plur|||3||intr|past|ind||g||p|v
enquist|enquerre|INQUIRERE||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
enquis|enquerre|INQUIRERE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
enrichie|enrichir|RîKI||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
enrichi|enrichir|RîKI||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
ensausee|essaucier|*EXALTIARE||verb|compPass||||||||fem|part|mwes|sing||||||past|ind||g||p|v
ensausiéz|essaucier|*EXALTIARE||verb|compPass||||||||masc|part|mwes|plur||||||past|ind||g||p|v
ensausiéz|essaucier|*EXALTIARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
ensegner|enseignier|*INSIGNARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
enseignement|enseignement|*INSIGNARE||noun||||||acc|||masc|||sing|||||||||g||p|v
enseignes|enseigne|INSIGNIA||noun|||||||||fem|||plur|||||||||g||p|v
enseigne|enseignier|*INSIGNARE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
enseignier|enseignier|*INSIGNARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
enseignés|enseignier|*INSIGNARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
enseignéz|enseignier|*INSIGNARE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
enseing|enseignier|*INSIGNARE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
ensement|ensement|IPSE||adverb|||||||||||||||||||||g||p|v
ensenbles|ensemble|INSIMUL||adverb|||||||||||||||||||||g||p|v
ensenble|ensemble|INSIMUL||adverb|||||||||||||||||||||g||p|v
ensi_come|ainsi|SIC||adverb|Adv||||||||||mwes||||||||||g||p|v
ensi_com|ainsi|SIC||adverb|Adv||||||||||mwes||||||||||g||p|v
ensience|escïence|SCIENTIA||noun|||||||||fem|||sing|||||||||g||p|v
ensilliee|essillier|EXCIDIUM||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
ensionan|Esionam|||propernoun|||||||||fem|||sing|||||||||g||p|v
ensi|ainsi|SIC||adverb|||||||||||||||||||||g||p|v
ensus|ensus|SURSUM||adverb||||loc|||||||||||||||||g||p|v
ens|enz|INTUS||adverb||||loc|||||||||||||||||g||p|v
entaalés|entaillier|TALIARE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
entaillee|entaillier|TALIARE||verb|Adj||||||||fem|part||sing||||||past|ind||g||p|v
entailleüres|entaillëure|TALIARE||noun|||||||||fem|||plur|||||||||g||p|v
entailliés|entaillier|TALIARE||verb|compPass||||||||fem|part|mwes|plur||||||past|ind||g||p|v
entaillés|entaillier|TALIARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
