FORMA|LEMMA|ETIMO|LANG|POS|FUNCT||ADPTYPE|ADVTYPE|ADVTYPE2|CASE|DEGREE|DETERTYPE|GENDER|MOOD|MWES|NUMBER|NUMTYPE|PARTTYPE|PERSON|PRONTYPE|PROPERTY|TENSE|VERBFORM|VOICE|g|h|p|v
aconplies|acomplir|COMPLERE||verb|compTens||||||||fem|part|mwes|plur||||||past|ind||g||p|v
aconplir|acomplir|COMPLERE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
aconplis|acomplir|COMPLERE||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
aconplis|acomplir|COMPLERE||verb|Adj||||||||masc|part||plur||||||past|ind||g||p|v
aconplis|acomplir|COMPLERE||verb|compTens||||||||masc|part|mwes|sing||||||past|ind||g||p|v
acontast|aconter|COMPUTARE||verb||||||||||imp||sing|||3||||fin|rfl|g||p|v
aconta|aconter|COMPUTARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
acontés|aconter|COMPUTARE||verb||||||||||||plur|||2|||pres|ind|rfl|g||p|v
acordance|acordancz|*ACCORDARE||noun|||||||||fem|||sing|||||||||g||p|v
acordent|acorder|*ACCORDARE||verb||||||||||||plur|||3|||pres|ind|rfl|g||p|v
acorderent|acorder|*ACCORDARE||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
acoula|acoler|COLLUM||verb||||||||||||sing|||3||trans|past|ind|act|g||p|v
acoullerent|acoler|COLLUM||verb||||||||||||plur|||3|||past|ind|rfl|g||p|v
acousta|acoster|COSTA||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
acoustés|acoster|COSTA||verb|compTens||||||||masc|part|mwes|plur||||||past|ind||g||p|v
acreïsiment|acroissement|CRESCERE||noun||||||acc|||masc|||sing|||||||||g||p|v
acroist|acroistre|CRESCERE||verb||||||||||||sing|||3||trans|pres|ind|act|g||p|v
adens|dent|DENS||adverb|||||||||||||||||||||g||p|v
adonc|adonc|DUNC|pr.,XII|adverb|||||||||||||||||||||g||p|v
adonques|adonc|DUNC||adverb|||||||||||||||||||||g||p|v
adornés|aorner1|ADORDINARE||verb|compPass||||||||masc|part|mwes|sing||||||past|ind||g||p|v
adoubés|adober|DUBBAN||verb|||||||||masc|part||sing||||||past|ind||g||p|v
afaire|afaire|FACERE|fr.m.,XII|noun||||||acc|||masc|||sing|||||||||g||p|v
afaire|afaire|FACERE||noun||||||nom|||masc|||sing|||||||||g||p|v
afer|afaire|FACERE||noun||||||acc|||masc|||sing|||||||||g||p|v
afer|afaire|FACERE||noun||||||nom|||masc|||sing|||||||||g||p|v
afier|afier|*FIDARE||verb||||||||||inf|||||||trans|pres|ind|act|g||p|v
afi|afier|*FIDARE||verb||||||||||||sing|||1||trans|pres|ind|act|g||p|v
afollerent|afoler|FULLARE||verb||||||||||||plur|||3||trans|past|ind|act|g||p|v
afubla|afubler|*AFFIBULARE||verb||||||||||||sing|||3|||past|ind|rfl|g||p|v
