FORMA|LEMMA|ETIMO|LANG|POS|FUNCT|MSD|SIGLE
sa|suen|SUUS||DET||Poss,Fem,Sing
vallor|valor|VALOR||NOUN||Fem,Sing
et|et|ET||CCONJ||
par|par|PER||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
proësse|pröece|PRODE||NOUN||Fem,Sing
car|car|QUARE||SCONJ||
son|suen|SUUS||DET||Poss,Masc,Sing,Nom
nom|nom|NOMEN||NOUN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs
coneü|conoistre|COGNOSCERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
et|et|ET||CCONJ||
redoutés|redoter1|DUBITARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
par|par|PER||ADP||
maintes|maint|*MANIGIþô-||DET||Ind,Fem,Plur
terres|terre|TERRA||NOUN||Fem,Plur
et|et|ET||CCONJ||
son|suen|SUUS||DET||Poss,Masc,Sing,Nom
afer|afaire|FACERE||NOUN||Masc,Sing,Nom
aloit|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Sing
chascun|chascun|CATA||DET||Ind,Masc,Sing,Acc
jor|jor|DIURNUM||NOUN||Masc,Sing,Acc
multipliant|moutepliier |MULTIPLICARE||VERB||Ind,Part,Pres,Intr
plus_et_plus|plus|PLUS||ADV|Adv|MWEs
.||||||
et|et|ET||CCONJ||
quant|cant1|QUANDO||SCONJ||
pelleus|Pelleus|||PROPN||Masc,Sing,Nom
vit|vëoir|VIDERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
que|queque|QUID||SCONJ||
jason|Jason|||PROPN||Masc,Sing,Nom
aloit|aler (GDC)|AMBULARE||VERB|auxMod|Fin,Ind,Imp,3,Sing
ensi|ainsi|SIC||ADV||
fesans|faire|FACERE||VERB||Ind,Ger,Pres,Act,Trans
et|et|ET||CCONJ||
qe|queque|QUID||SCONJ||
chascun|chascun|CATA||DET||Ind,Masc,Sing,Acc
jor|jor|DIURNUM||NOUN||Masc,Sing,Acc
multiplioit|moutepliier |MULTIPLICARE||VERB||Fin,Ind,Imp,Intr,3,Sing
plus_et_plus|plus|PLUS||ADV|Adv|MWEs
.||||||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
pensa|penser|PENSARE||VERB||Fin,Ind,Past,Intr,3,Sing
à|a3|AD||ADP||
soi|soi1|SE||PRON||Prs,3,Acc
meïsmes|mëisme|IPSE||DET||Ind,Masc,Sing,Acc
qe|queque|QUID||SCONJ||
.||||||
c’|se|SI||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
vivoit|vivre1|VIVERE||VERB||Fin,Ind,Imp,Intr,3,Sing
longuement|longement|LONGUS||ADV||
.||||||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
le|le|ILLE||PRON||Prs,3,Masc,Sing,Acc
poroit|pöoir|POSSE||VERB|auxMod|Fin,Cnd,Pres,3,Sing
desiriter|desireter|HEREDITARE||VERB||Ind,Inf,Pres,Act,Trans
et|et|ET||CCONJ||
chaser|chacier|*CAPTIARE||VERB||Ind,Inf,Pres,Act,Trans
fors|fors1|FORAS||ADP||
de|de|DE||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
terre|terre|TERRA||NOUN||Fem,Sing
et|et|ET||CCONJ||
de|de|DE||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
reigne|regne|REGNUM||NOUN||Masc,Sing,Acc
à_ce_q’||||||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs
mult|mout|MULTUS||ADV||
amés|amer1|AMARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
de|de|DE||ADP||
tot|tot|TOTUS||DET||Ind,Masc,Plur,Acc
les|le|ILLE||DET||ArtDef,Masc,Plur
aus|haut|ALTUS||ADJ||Masc,Plur,Acc
barons|baron|*BARO||NOUN||Masc,Plur,Acc
de|de|DE||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
reigne|regne|REGNUM||NOUN||Masc,Sing,Acc
por|por2|PRO||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
valor|valor|VALOR||NOUN||Fem,Sing
et|et|ET||CCONJ||
por|por2|PRO||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
bonté|bonté|BONITAS||NOUN||Fem,Sing
.||||||
à|a3|AD||ADP||
ce|ce1|HOC||PRON||Dem,Neut,Sing,Acc
pensoit|penser|PENSARE||VERB||Fin,Ind,Imp,Intr,3,Sing
li|le|ILLE||DET||ArtDef,Masc,Sing
roi|roi|REX||NOUN||Masc,Sing,Nom
qe|queque|QUID||PRON||Rel,Nom
mult|mout|MULTUS||ADV||
grant|grant|GRANDIS||ADJ||Fem,Sing
paor|pëor|PAVOR||NOUN||Fem,Sing
avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
de|de|DE||ADP||
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
nevo|nevo|NEPOS||NOUN||Masc,Sing,Acc
qi|qui|QUI||PRON||Rel,Nom
ne|ne1|NON||ADV||Neg
le|le|ILLE||PRON||Prs,3,Masc,Sing,Acc
chasast|chacier|*CAPTIARE||VERB||Fin,Sub,Imp,Act,Trans,3,Sing
for|fors1|FORAS||ADV||Loc
de|de|DE||ADP||
sa|suen|SUUS||DET||Poss,Fem,Sing
terre|terre|TERRA||NOUN||Fem,Sing
.||||||
car|car|QUARE||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
connoisoit|conoistre|COGNOSCERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
qe|queque|QUID||SCONJ||
fere|faire|FACERE||VERB||Ind,Inf,Pres,Act,Trans
le|le|ILLE||PRON||Prs,3,Neut,Sing,Acc
peüst|pöoir|POSSE||VERB|auxMod|Fin,Sub,Imp,3,Sing
asés|assez|AD SATIS||ADV||
legierement|legierement|*LEVIARIUS||ADV||Man
c’|se|SI||SCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
de|de|DE||ADP||
te|toi|TE||PRON||Prs,2,Sing,Acc
se|soi|SE||PRON||Prs,3,Sing,Acc
