FORMA|LEMMA|ETIMO|LANG|POS|FUNCT|MSD|SIGLE
et|et|ET||CCONJ||
quant|cant1|QUANDO||SCONJ||
homier|Homère|||PROPN||Masc,Sing,Nom
hot|avoir|HABERE||VERB|auxTens|Fin,Ind,Past,3,Sing,MWEs
son|suen|SUUS||DET||Poss,Masc,Sing,Acc
livre|livre2|LIBER2||NOUN||Masc,Sing,Acc
fet|faire|FACERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs
et|et|ET||CCONJ||
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
fu|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
à_la|a3|AD||ADP||PrepArt
cité|cité|CIVITAS||NOUN||Fem,Sing
d’|de|DE||ADP||
ateines|Athènes|||PROPN||Fem,Sing
aportés|aporter|APPORTARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
et|et|ET||CCONJ||
leüz|lire1|LEGERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
entres|entre2|INTER||ADP||
les|le|ILLE||DET||ArtDef,Masc,Plur
sajes|sage|SAPIDUS||ADJ||Masc,Plur,Acc
clers|clerc|CLERICUS||NOUN||Masc,Plur,Acc
.||||||
si|si|SIC||ADV||
le|le|ILLE||PRON||Prs,3,Masc,Sing,Acc
vostrent|voloir|VELLE||VERB|auxMod|Fin,Ind,Past,3,Plur
por|por2|PRO||ADP||
raison|raison|RATIO||NOUN||Fem,Sing
danner|damner|DAMNARE||VERB||Ind,Inf,Pres,Act,Trans
.||||||
por_ce_q’|por2|PRO||ADP|SConj |MWEs
il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom
fet|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Sing,MWEs
conbatre|combatre|COMBATTUERE||VERB||Ind,Inf,Pres,Intr
demanois|demanois|MANUS||ADV||
les|le|ILLE||DET||ArtDef,Masc,Plur
diex|dieu|DEUS||NOUN||Masc,Plur,Acc
ho|avuec|AB HOC||ADP||
lez|le|ILLE||DET||ArtDef,Masc,Plur
troienz|troyen|TROJANUS||ADJ|Noun|Masc,Plur,Acc
.||||||
ensement|ensement|IPSE||ADV||
avoit|avoir|HABERE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
conbatre|combatre|COMBATTUERE||VERB||Ind,Inf,Pres,Intr
le|le|ILLE||DET||ArtDef,Fem,Plur
deesses|dieuesse|DEUS||NOUN||Fem,Plur
ho|avuec|AB HOC||ADP||
les|le|ILLE||DET||ArtDef,Masc,Plur
charnels|charnel2|CARNALIS||ADJ||Masc,Plur,Acc
.||||||
la_quel|quel1|QUALIS||PRON||Rel,Fem,Sing
chouse|chose|CAUSA||NOUN||Fem,Sing
li|li|ILLE||PRON||Prs,3,Masc,Sing,Acc
fu|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
tornee|tonrner|TORNARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs
à|a3|AD||ADP||
grant|grant|GRANDIS||ADJ||Fem,Sing
follie|folie2|FOLLIS||NOUN||Fem,Sing
.||||||
mes|mais1|MAGIS2||CCONJ||
por_ce_qe|por2|PRO||ADP|SConj |MWEs
homier|Homère|||PROPN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
moult|mout|MULTUS||ADV||
saje|sage|SAPIDUS||ADJ||Masc,Sing,Nom
clerc|clerc|CLERICUS||NOUN||Masc,Sing,Nom
.||||||
fu|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs
son|suen|SUUS||DET||Poss,Masc,Sing,Nom
livre|livre2|LIBER2||NOUN||Masc,Sing,Nom
enn|en1|IN||ADP||
ahotiricés|autorités|AUCTORITAS||NOUN||Fem,Sing
mis|metre2|MITTERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
et|et|ET||CCONJ||
receüs|recevoir|RECIPERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
.||||||
coment|coment|QUOMODO||ADV||Int
cornelius|Cornelius|||PROPN||Masc,Sing,Nom
retrova|retrover|*TROPARE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
la|le|ILLE||DET||ArtDef,Fem,Sing
veraie|verai|*VERACUS||ADJ||Fem,Sing
estoire|estoire1|HISTORIA||NOUN||Fem,Sing
de|de|DE||ADP||
troie|Troie|||PROPN||Fem,Sing
.||||||
li_qel|quel1|QUALIS||PRON||Rel,Masc,Sing,Acc
livre|livre2|LIBER2||NOUN||Masc,Sing,Acc
le|le|ILLE||DET||ArtDef,Masc,Sing
troien|troyen|TROJANUS||ADJ|Noun|Masc,Sing,Nom
escrist|escrire|SCRIBERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
de_denz|dedans|DEINTUS||ADP||
troie|Troie|||PROPN||Fem,Sing
en|en1|IN||ADP||
lengue|langue1|LINGUA||NOUN||Fem,Sing
gresoit|gregois|GRAECUS||ADJ||Fem,Sing
.||||||
et|et|ET||CCONJ||
coment|coment|QUOMODO||ADV||Int
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
cornelius|Cornelius|||PROPN||Masc,Sing,Nom
la|le|ILLE||PRON||Prs,3,Fem,Sing,Acc
mist|metre2|MITTERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing
en|en1|IN||ADP||
latin|latin|LATINUS||ADJ|Noun|Masc,Sing,Acc
.||||||
à|a3|AD||ADP||
celui|cel|ILLE||DET||Dem,Masc,Sing,Acc
tenz|tens|TEMPS1||NOUN||Masc,Sing,Acc
qe|queque|QUID||SCONJ||
saluste|Saluste|||PROPN||Masc,Sing,Nom
vivoit|vivre1|VIVERE||VERB||Fin,Ind,Imp,Intr,3,Sing
.||||||
estoit|estre1|ESSE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs
rome|Rome|||PROPN||Fem,Sing
grant|grant|GRANDIS||ADJ||Fem,Sing
piece|piece|*PETTIA||NOUN||Fem,Sing
duree|durer|DURARE||VERB|compTens|Ind,Part,Past,Sing,Fem,MWEs
dès|des2|DE EX||ADP||
le|le|ILLE||DET||ArtDef,Masc,Sing
sien|suen|SUUS||DET||Poss,Masc,Sing,Acc
commencement|comencement|COMINITIARE||NOUN||Masc,Sing,Acc
.||||||
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
saluste|Saluste|||PROPN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing
de|de|DE||ADP||
moult|mout|MULTUS||ADV||
aut|haut|ALTUS||ADJ||Masc,Sing,Acc
parage|parage|PAR||NOUN||Masc,Sing,Acc
et|et|ET||CCONJ||
moult|mout|MULTUS||ADV||
preu|pro|PRODE||ADJ||Masc,Sing,Nom
et|et|ET||CCONJ||
moult|mout|MULTUS||ADV||
vaillant|valoir|VALERE||VERB|Adj|Ind,Part,Pres
et|et|ET||CCONJ||
moult|mout|MULTUS||ADV||
saje|sage|SAPIDUS||ADJ||Masc,Sing,Nom
clerc|clerc|CLERICUS||NOUN||Masc,Sing,Nom
.||||||
si|si|SIC||ADV||
avoit|avoir|HABERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
saluste|Saluste|||PROPN||Masc,Sing,Nom
uno||||||
sien|suen|SUUS||DET||Poss,Masc,Sing,Acc
nevo|nevo|NEPOS||NOUN||Masc,Sing,Acc
moult|mout|MULTUS||ADV||
saje|sage|SAPIDUS||ADJ||Masc,Sing,Acc
et|et|ET||CCONJ||
esiencos|escientos (GD)|SCIENS||ADJ||Masc,Sing,Acc
et|et|ET||CCONJ||
moult|mout|MULTUS||ADV||
fondés|fonder2|FUNDARE||VERB|Adj|Ind,Part,Past,Sing,Masc
de|de|DE||ADP||
clergie|clergie|CLERICUS||NOUN||Fem,Sing
qe|queque|QUID||PRON||Rel,Nom
cornelius|Cornelius|||PROPN||Masc,Sing,Nom
estoit|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs
apellés|apeler|APELLARE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs
.||||||
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
cornelius|Cornelius|||PROPN||Masc,Sing,Nom
tenoit|tenir1|TENERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing
en|en1|IN||ADP||
scoile|escole1|SCHOLA||NOUN||Fem,Sing
en|en1|IN||ADP||
la|le|ILLE||DET||ArtDef,Fem,Sing
arte|X|X||X||
d’|de|DE||ADP||
ateines|Athènes|||PROPN||Fem,Sing
.||||||
un|un|UNUS||DET||ArtIndef,Masc,Sing
jor|jor|DIURNUM||NOUN||Masc,Sing,Acc
avint|avenir|ADVENIRE||VERB||Fin,Ind,Past,Intr,3,Sing
qe|queque|QUID||SCONJ||
celui|cel|ILLE||DET||Dem,Masc,Sing,Nom
cornelius|Cornelius|||PROPN||Masc,Sing,Nom
