estoit|estoit1|estre1|ESSE||VERB|auxCop|Fin,Ind,Imp,3,Sing|g,p,v
estoit|estoit2|estre1|ESSE||VERB|auxPass|Fin,Ind,Imp,3,Sing,MWEs|g,p,v
estoit|estoit3|estre1|ESSE||VERB|auxTens|Fin,Ind,Imp,3,Sing,MWEs|g,p,v
et|et|et|ET||CCONJ|||g,p,v
euz|euz|ueil|OCULUS||NOUN||Masc,Plur,Acc|g,p,v
eüssent|eüssent|avoir|HABERE||VERB|auxTens|Fin,Sub,Imp,3,Plur,MWEs|g,p,v
eüst|eüst|avoir|HABERE||VERB||Fin,Sub,Imp,Act,Trans,3,Sing|g,p,v
faire|faire|faire|FACERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
fait|fait|faire|FACERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
fer|fer|faire|FACERE||VERB||Ind,Inf,Pres,Act,Intr|g,p,v
fesoit|fesoit|faire|FACERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
fet|fet10|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Sing,MWEs|g,p,v
fet|fet2|faire|FACERE||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
firent|firent|faire|FACERE||VERB||Fin,Ind,Past,Act,Trans,3,Plur|g,p,v
firent|firent1|faire|FACERE||VERB|auxMod|Fin,Ind,Past,3,Plur|g,p,v
follie|follie|folie2|FOLLIS||NOUN||Fem,Sing|g,p,v
fondés|fondés|fonder2|FUNDARE||VERB|Adj|Ind,Part,Past,Sing,Masc|g,p,v
fors|fors|fors1|FORAS||ADP|||g,p,v
fors|fors1|fort|FORTIS||ADJ||Masc,Sing,Nom|g,p,v
fu|fu|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing|g,p,v
fu|fu1|estre1|ESSE||VERB|auxPass|Fin,Ind,Past,3,Sing,MWEs|g,p,v
fu|fu2|estre1|ESSE||VERB|auxTens|Fin,Ind,Past,3,Sing,MWEs|g,p,v
fusent|fusent|estre1|ESSE||VERB|auxTens|Fin,Sub,Imp,3,Plur,MWEs|g,p,v
fust|fust|estre1|ESSE||VERB|auxCop|Fin,Ind,Past,3,Sing|g,p,v
gardee|gardee|warder|*WARDôN||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
garderoient|garderoient|warder|*WARDôN||VERB||Fin,Cnd,Pres,Act,Trans,3,Plur|g,p,v
ge|ge|je|EGO||PRON||Prs,1,Sing,Nom|g,p,v
grant|grant1|grant|GRANDIS||ADJ||Masc,Sing,Acc|g,p,v
grant|grant4|grant|GRANDIS||ADJ||Fem,Sing|g,p,v
gresois|gresois|gregois|GRAECUS||ADJ||Fem,Sing|g,p,v
gresois|gresois1|gregois|GRAECUS||ADJ|Noun|Masc,Plur,Acc|g,p,v
gresoit|gresoit|gregois|GRAECUS||ADJ||Fem,Sing|g,p,v
guerre|guerre|guerre|*WERRA||NOUN||Fem,Sing|g,p,v
haine|haine|häine| *HATJAN||NOUN||Fem,Sing|g,p,v
henor|henor|onor|HONOS||NOUN||Masc,Sing,Acc|g,p,v
ho|ho|avuec|AB HOC||ADP|||g,p,v
homes|homes|ome|HOMO||NOUN||Masc,Plur,Nom|g,p,v
homier|homier|Homère|||PROPN||Masc,Sing,Nom|g,p,v
hooit|hooit|öir|AUDIRE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
hot|hot|avoir|HABERE||VERB|auxTens|Fin,Ind,Past,3,Sing,MWEs|g,p,v
hoïr|hoïr|öir|AUDIRE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
il|il|il|ILLE||PRON||Prs,3,Masc,Sing,Nom|g,p,v
il|il1|il|ILLE||PRON||Prs,3,Masc,Plur,Nom|g,p,v
isilliee|isilliee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
issillee|issillee|essillier|EXILIARE||VERB|compPass|Ind,Part,Past,Sing,Fem,MWEs|g,p,v
je|je|je|EGO||PRON||Prs,1,Sing,Nom|g,p,v
jor|jor|jor|DIURNUM||NOUN||Masc,Sing,Acc|g,p,v
jusques|jusques|jusque| USQUE||ADP|||g,p,v
l_en|l_en|on|HOMO||PRON||Prs,3,Sing,Nom|g,p,v
la|la|le|ILLE||DET||ArtDef,Fem,Sing|g,p,v
la|la1|le|ILLE||PRON||Prs,3,Fem,Sing,Acc|g,p,v
la_quel|la_quel|quel1|QUALIS||PRON||Rel,Fem,Sing|g,p,v
latin|latin|latin|LATINUS||ADJ|Noun|Masc,Sing,Acc|g,p,v
le|le|le|ILLE||DET||ArtDef,Masc,Sing|g,p,v
le|le2|le|ILLE||DET||ArtDef,Fem,Sing|g,p,v
le|le3|le|ILLE||DET||ArtDef,Fem,Plur|g,p,v
le|le4|le|ILLE||PRON||Prs,3,Masc,Sing,Acc|g,p,v
lengue|lengue|langue1|LINGUA||NOUN||Fem,Sing|g,p,v
les|les|le|ILLE||DET||ArtDef,Masc,Plur|g,p,v
les|les2|le|ILLE||DET||ArtDef,Masc,Sing|g,p,v
lez|lez|le|ILLE||DET||ArtDef,Masc,Plur|g,p,v
leüz|leüz|lire1|LEGERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
li|li|le|ILLE||DET||ArtDef,Masc,Sing|g,p,v
li|li2|li|ILLE||PRON||Prs,3,Masc,Sing,Acc|g,p,v
li_qel|li_qel|quel1|QUALIS||PRON||Rel,Masc,Sing,Acc|g,p,v
livre|livre|livre2|LIBER2||NOUN||Masc,Sing,Nom|g,p,v
livre|livre1|livre2|LIBER2||NOUN||Masc,Sing,Acc|g,p,v
lonc|lonc|lonc|LONGUS||ADJ||Masc,Sing,Acc|g,p,v
lor|lor|lor3|ILLE||DET||Poss,Masc,Sing,Nom|g,p,v
lor|lor1|lor3|ILLE||DET||Poss,Masc,Sing,Acc|g,p,v
lor|lor2|lor3|ILLE||DET||Poss,Fem,Sing|g,p,v
lu|lu|le|ILLE||DET||ArtDef,Masc,Sing|g,p,v
l’|l’|le|ILLE||DET||ArtDef,Masc,Sing|g,p,v
l’|l’1|le|ILLE||DET||ArtDef,Fem,Sing|g,p,v
mainiere|mainiere|maniere|MANUARIUS||NOUN||Fem,Sing|g,p,v
mains|mains|main2|MANUS||NOUN||Fem,Plur|g,p,v
me|me|moi|ME||PRON||Prs,1,Sing,Acc|g,p,v
mervoilleus|mervoilleus|merveillos|MIRABILIA||ADJ||Masc,Sing,Nom|g,p,v
mes|mes|mais1|MAGIS2||CCONJ|||g,p,v
mesires|mesires|X|X||X|||g,p,v
metoit|metoit|metre2|MITTERE||VERB||Fin,Ind,Imp,Act,Trans,3,Sing|g,p,v
metre|metre|metre2|MITTERE||VERB||Ind,Inf,Pres,Act,Trans|g,p,v
miels|miels|mieus|MELIOR||ADV||Cmp|g,p,v
mis|mis3|metre2|MITTERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
mist|mist|metre2|MITTERE||VERB||Fin,Ind,Past,Act,Trans,3,Sing|g,p,v
moult|moult|mout|MULTUS||ADV|||g,p,v
nasqi|nasqi|naistre|NASCI||VERB||Fin,Ind,Past,Intr,3,Sing|g,p,v
ne|ne|ne1|NON||ADV||Neg|g,p,v
nen|nen|non|NON||ADV||Neg|g,p,v
nevo|nevo|nevo|NEPOS||NOUN||Masc,Sing,Acc|g,p,v
ni|ni|ne2|NEC||CCONJ|||g,p,v
només|només|nomer|NOMINARE||VERB|compPass|Ind,Part,Past,Plur,Masc,MWEs|g,p,v
non|non|non|NON||ADV||Neg|g,p,v
nos|nos|nos|NOS||PRON||Prs,1,Plur,Nom|g,p,v
nos|nos1|nos|NOS||PRON||Prs,1,Plur,Acc|g,p,v
nos|nos2|nostre|NOSTER||DET||Poss,Masc,Plur,Nom|g,p,v
nuit|nuit|nuit|NOX||NOUN||Fem,Sing|g,p,v
nés|nés|naistre|NASCI||VERB|compTens|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
ou|ou|o3|AUT||CCONJ|||g,p,v
par|par|par|PER||ADP|||g,p,v
parage|parage|parage|PAR||NOUN||Masc,Sing,Acc|g,p,v
pardue|pardue|perdre|PERDERE||VERB|Adj|Ind,Part,Past,Sing,Fem|g,p,v
pardus|pardus|perdre|PERDERE||VERB|compPass|Ind,Part,Past,Sing,Masc,MWEs|g,p,v
parlant|parlant|parler|PARABOLARE||VERB||Ind,Ger,Pres,Intr|g,p,v
paroule|paroule|parler|PARABOLARE||VERB||Fin,Ind,Pres,Intr,3,Sing|g,p,v
pensa|pensa|penser|PENSARE||VERB||Fin,Ind,Past,Intr,3,Sing|g,p,v
piece|piece|piece|*PETTIA||NOUN||Fem,Sing|g,p,v
poi|poi|poi|PAUCUS||ADV|||g,p,v
por|por|por2|PRO||ADP|||g,p,v
por_ce_qe|por_ce_qe|por2|PRO||ADP|SConj |MWEs|g,p,v
por_ce_q’|por_ce_q’|por2|PRO||ADP|SConj |MWEs|g,p,v
por_qoi|por_qoi|por2|PRO/QUID||ADV||Int|g,p,v
porfitable|porfitable|porfitable|PROFECTUS||ADJ||Fem,Sing|g,p,v
preu|preu|pro|PRODE||ADJ||Masc,Sing,Nom|g,p,v
pris|pris|prix|PRETIUM||NOUN||Masc,Sing,Acc|g,p,v
puissent|puissent|pöoir|POSSE||VERB|auxMod|Fin,Sub,Imp,3,Plur|g,p,v
qanqe|qanqe|cant2|QUANTUS||PRON||Ind,Neut,Sing,Acc|g,p,v
qe|qe|queque|QUID||PRON||Rel,Nom|g,p,v
qe|qe1|queque|QUID||PRON||Rel,Acc|g,p,v
