$|$||||||
$de|$de||||||
$fu|$fu||||||
$te|$te||||||
-a|-a||||||
-cha3|-cha3||||||
-cit|-cit||||||
-f|-f||||||
-p|-p||||||
-qui|-qui||||||
-reg2|-reg2||||||
ateinz|ateinz||||||
atendant|atendant||||||
atendoit|atendoit||||||
atendre|atendre||||||
atendrez|atendrez||||||
atendu|atendu||||||
atendéz|atendéz||||||
atent|atent||||||
atenz|atenz||||||
atireemant|atireemant||||||
atorna|atorna||||||
atorne|atorne||||||
atornee|atornee||||||
atornees|atornees||||||
atornent|atornent||||||
atorner|atorner||||||
atornez|atornez||||||
atornier|atornier||||||
atorné|atorné||||||
atornéz|atornéz||||||
atrait|atrait||||||
atroser|atroser||||||
au|au||||||
aua|aua||||||
aual|aual||||||
auarice|auarice||||||
auba|auba||||||
aubanie|aubanie||||||
aube|aube||||||
auberc|auberc||||||
aubercs|aubercs||||||
aubers|aubers||||||
auchun|auchun||||||
aucun|aucun||||||
auec|auec||||||
aufriche|aufriche||||||
augent|augent||||||
aui|aui||||||
aume|aume||||||
aumes|aumes||||||
auoir|auoir||||||
auoit|auoit||||||
auques|auques||||||
aus|aus||||||
ausa|ausa||||||
ausberc|ausberc||||||
ausberg|ausberg||||||
ausi|ausi||||||
ausiment|ausiment||||||
aut|aut||||||
aute|aute||||||
autece|autece||||||
autement|autement||||||
autre|autre||||||
autrement|autrement||||||
autres|autres||||||
autresi|autresi||||||
autretant|autretant||||||
autretel|autretel||||||
autrui|autrui||||||
autr’|autr’||||||
aval|aval||||||
avant|avant||||||
avarice|avarice||||||
avaudroit|avaudroit||||||
avec|avec||||||
aventure|aventure||||||
aventures|aventures||||||
avenu|avenu||||||
avenue|avenue||||||
avers|avers||||||
avez|avez||||||
avient|avient||||||
aviez|aviez||||||
avions|avions||||||
avis|avis||||||
avoie|avoie||||||
avoient|avoient||||||
avoies|avoies||||||
avoiet|avoiet||||||
avoine|avoine||||||
avoir|avoir||||||
avoire|avoire||||||
avoirs|avoirs||||||
avoit|avoit||||||
avomes|avomes||||||
avon|avon||||||
avons|avons||||||
avonz|avonz||||||
avor|avor||||||
avos|avos||||||
avra|avra||||||
avrai|avrai||||||
avrais|avrais||||||
avras|avras||||||
avrez|avrez||||||
avroie|avroie||||||
avroiez|avroiez||||||
avrois|avrois||||||
avroit|avroit||||||
avroiz|avroiz||||||
avrons|avrons||||||
avront|avront||||||
avréz|avréz||||||
avéz|avéz||||||
aymes|aymes||||||
aymon|aymon||||||
ayr|ayr||||||
ays|ays||||||
az|az||||||
aï|aï||||||
aïe|aïe||||||
aïr|aïr||||||
aïéz|aïéz||||||
aüses|aüses||||||
babiloine|babiloine||||||
bachalier|bachalier||||||
bagnier|bagnier||||||
bailez|bailez||||||
